収支区分,発生日,取引先,勘定科目,金額,支払期日,支払日,支払口座,支払金額
収入,2025/01/20,テストクライアント,売上高,432940,2025/02/28,2025/02/28,テスト銀行 事業,432940
支出,2025/01/05,テスト決済,支払手数料,4360,2025/01/28,2025/01/28,テスト銀行 事業,4360
支出,2025/01/05,テストISP,通信費,6600,2025/01/28,2025/01/28,テスト銀行 事業,6600
支出,2025/01/05,テスト不動産,地代家賃,55000,2025/01/28,2025/01/28,テスト銀行 事業,55000
支出,2025/01/05,テストパートナー,外注費,146520,2025/01/28,2025/01/28,テスト銀行 事業,146520
支出,2025/01/14,テスト交通,旅費交通費,22469,2025/01/28,2025/01/28,テスト銀行 事業,22469
支出,2025/01/21,テスト事務用品,消耗品費,9276,2025/01/28,2025/01/28,テスト銀行 事業,9276
支出,2025/01/18,テスト広告,広告宣伝費,18353,2025/01/28,2025/01/28,テスト銀行 事業,18353
収入,2025/02/20,テストクライアント,売上高,385588,2025/03/28,2025/03/28,テスト銀行 事業,385588
支出,2025/02/09,テスト決済,支払手数料,5044,2025/02/28,2025/02/28,テスト銀行 事業,5044
支出,2025/02/05,テストISP,通信費,6600,2025/02/28,2025/02/28,テスト銀行 事業,6600
支出,2025/02/05,テスト不動産,地代家賃,55000,2025/02/28,2025/02/28,テスト銀行 事業,55000
支出,2025/02/17,テストパートナー,外注費,145392,2025/02/28,2025/02/28,テスト銀行 事業,145392
支出,2025/02/16,テスト交通,旅費交通費,15071,2025/02/28,2025/02/28,テスト銀行 事業,15071
支出,2025/02/22,テスト事務用品,消耗品費,11257,2025/02/28,2025/02/28,テスト銀行 事業,11257
支出,2025/02/23,テスト広告,広告宣伝費,37758,2025/02/28,2025/02/28,テスト銀行 事業,37758
収入,2025/03/20,テストクライアント,売上高,620000,2025/04/28,2025/04/28,テスト銀行 事業,620000
支出,2025/03/10,テスト決済,支払手数料,4685,2025/03/28,2025/03/28,テスト銀行 事業,4685
支出,2025/03/05,テストISP,通信費,6600,2025/03/28,2025/03/28,テスト銀行 事業,6600
支出,2025/03/05,テスト不動産,地代家賃,55000,2025/03/28,2025/03/28,テスト銀行 事業,55000
支出,2025/03/09,テストパートナー,外注費,132944,2025/03/28,2025/03/28,テスト銀行 事業,132944
支出,2025/03/11,テスト交通,旅費交通費,18026,2025/03/28,2025/03/28,テスト銀行 事業,18026
支出,2025/03/24,テスト事務用品,消耗品費,6379,2025/03/28,2025/03/28,テスト銀行 事業,6379
支出,2025/03/13,テスト広告,広告宣伝費,21488,2025/03/28,2025/03/28,テスト銀行 事業,21488
収入,2025/04/20,テストクライアント,売上高,358684,2025/05/28,2025/05/28,テスト銀行 事業,358684
支出,2025/04/06,テスト決済,支払手数料,5021,2025/04/28,2025/04/28,テスト銀行 事業,5021
支出,2025/04/05,テストISP,通信費,6600,2025/04/28,2025/04/28,テスト銀行 事業,6600
支出,2025/04/05,テスト不動産,地代家賃,55000,2025/04/28,2025/04/28,テスト銀行 事業,55000
支出,2025/04/17,テストパートナー,外注費,129192,2025/04/28,2025/04/28,テスト銀行 事業,129192
支出,2025/04/17,テスト交通,旅費交通費,20012,2025/04/28,2025/04/28,テスト銀行 事業,20012
支出,2025/04/07,テスト事務用品,消耗品費,9902,2025/04/28,2025/04/28,テスト銀行 事業,9902
支出,2025/04/13,テスト広告,広告宣伝費,26088,2025/04/28,2025/04/28,テスト銀行 事業,26088
収入,2025/05/20,テストクライアント,売上高,446488,2025/06/28,2025/06/28,テスト銀行 事業,446488
支出,2025/05/21,テスト決済,支払手数料,4596,2025/05/28,2025/05/28,テスト銀行 事業,4596
支出,2025/05/05,テストISP,通信費,6600,2025/05/28,2025/05/28,テスト銀行 事業,6600
支出,2025/05/05,テスト不動産,地代家賃,55000,2025/05/28,2025/05/28,テスト銀行 事業,55000
支出,2025/05/05,テストパートナー,外注費,144600,2025/05/28,2025/05/28,テスト銀行 事業,144600
支出,2025/05/22,テスト交通,旅費交通費,21257,2025/05/28,2025/05/28,テスト銀行 事業,21257
支出,2025/05/20,テスト事務用品,消耗品費,9295,2025/05/28,2025/05/28,テスト銀行 事業,9295
支出,2025/05/15,テスト広告,広告宣伝費,37410,2025/05/28,2025/05/28,テスト銀行 事業,37410
収入,2025/06/20,テストクライアント,売上高,620000,2025/07/28,2025/07/28,テスト銀行 事業,620000
支出,2025/06/15,テスト決済,支払手数料,4270,2025/06/28,2025/06/28,テスト銀行 事業,4270
支出,2025/06/05,テストISP,通信費,6600,2025/06/28,2025/06/28,テスト銀行 事業,6600
支出,2025/06/05,テスト不動産,地代家賃,55000,2025/06/28,2025/06/28,テスト銀行 事業,55000
支出,2025/06/17,テストパートナー,外注費,116752,2025/06/28,2025/06/28,テスト銀行 事業,116752
支出,2025/06/24,テスト交通,旅費交通費,15359,2025/06/28,2025/06/28,テスト銀行 事業,15359
支出,2025/06/19,テスト事務用品,消耗品費,11774,2025/06/28,2025/06/28,テスト銀行 事業,11774
支出,2025/06/15,テスト広告,広告宣伝費,39570,2025/06/28,2025/06/28,テスト銀行 事業,39570
収入,2025/07/20,テストクライアント,売上高,409864,2025/08/28,2025/08/28,テスト銀行 事業,409864
支出,2025/07/18,テスト決済,支払手数料,4713,2025/07/28,2025/07/28,テスト銀行 事業,4713
支出,2025/07/05,テストISP,通信費,6600,2025/07/28,2025/07/28,テスト銀行 事業,6600
支出,2025/07/05,テスト不動産,地代家賃,55000,2025/07/28,2025/07/28,テスト銀行 事業,55000
支出,2025/07/09,テストパートナー,外注費,93344,2025/07/28,2025/07/28,テスト銀行 事業,93344
支出,2025/07/24,テスト交通,旅費交通費,22159,2025/07/28,2025/07/28,テスト銀行 事業,22159
支出,2025/07/24,テスト事務用品,消耗品費,8159,2025/07/28,2025/07/28,テスト銀行 事業,8159
支出,2025/07/20,テスト広告,広告宣伝費,35555,2025/07/28,2025/07/28,テスト銀行 事業,35555
収入,2025/08/20,テストクライアント,売上高,454336,2025/09/28,2025/09/28,テスト銀行 事業,454336
支出,2025/08/23,テスト決済,支払手数料,4478,2025/08/28,2025/08/28,テスト銀行 事業,4478
支出,2025/08/05,テストISP,通信費,6600,2025/08/28,2025/08/28,テスト銀行 事業,6600
支出,2025/08/05,テスト不動産,地代家賃,55000,2025/08/28,2025/08/28,テスト銀行 事業,55000
支出,2025/08/13,テストパートナー,外注費,88768,2025/08/28,2025/08/28,テスト銀行 事業,88768
支出,2025/08/21,テスト交通,旅費交通費,17636,2025/08/28,2025/08/28,テスト銀行 事業,17636
支出,2025/08/11,テスト事務用品,消耗品費,6866,2025/08/28,2025/08/28,テスト銀行 事業,6866
支出,2025/08/05,テスト広告,広告宣伝費,38740,2025/08/28,2025/08/28,テスト銀行 事業,38740
収入,2025/09/20,テストクライアント,売上高,620000,2025/10/28,2025/10/28,テスト銀行 事業,620000
支出,2025/09/08,テスト決済,支払手数料,4523,2025/09/28,2025/09/28,テスト銀行 事業,4523
支出,2025/09/05,テストISP,通信費,6600,2025/09/28,2025/09/28,テスト銀行 事業,6600
支出,2025/09/05,テスト不動産,地代家賃,55000,2025/09/28,2025/09/28,テスト銀行 事業,55000
支出,2025/09/05,テストパートナー,外注費,96000,2025/09/28,2025/09/28,テスト銀行 事業,96000
支出,2025/09/20,テスト交通,旅費交通費,15995,2025/09/28,2025/09/28,テスト銀行 事業,15995
支出,2025/09/22,テスト事務用品,消耗品費,8197,2025/09/28,2025/09/28,テスト銀行 事業,8197
支出,2025/09/08,テスト広告,広告宣伝費,42343,2025/09/28,2025/09/28,テスト銀行 事業,42343
収入,2025/10/20,テストクライアント,売上高,452668,2025/11/28,2025/11/28,テスト銀行 事業,452668
支出,2025/10/05,テスト決済,支払手数料,4460,2025/10/28,2025/10/28,テスト銀行 事業,4460
支出,2025/10/05,テストISP,通信費,6600,2025/10/28,2025/10/28,テスト銀行 事業,6600
支出,2025/10/05,テスト不動産,地代家賃,55000,2025/10/28,2025/10/28,テスト銀行 事業,55000
支出,2025/10/17,テストパートナー,外注費,104232,2025/10/28,2025/10/28,テスト銀行 事業,104232
支出,2025/10/10,テスト交通,旅費交通費,15785,2025/10/28,2025/10/28,テスト銀行 事業,15785
支出,2025/10/13,テスト事務用品,消耗品費,9788,2025/10/28,2025/10/28,テスト銀行 事業,9788
支出,2025/10/18,テスト広告,広告宣伝費,39293,2025/10/28,2025/10/28,テスト銀行 事業,39293
収入,2025/11/20,テストクライアント,売上高,456676,2025/12/28,2025/12/28,テスト銀行 事業,456676
支出,2025/11/07,テスト決済,支払手数料,4602,2025/11/28,2025/11/28,テスト銀行 事業,4602
支出,2025/11/05,テストISP,通信費,6600,2025/11/28,2025/11/28,テスト銀行 事業,6600
支出,2025/11/05,テスト不動産,地代家賃,55000,2025/11/28,2025/11/28,テスト銀行 事業,55000
支出,2025/11/17,テストパートナー,外注費,81312,2025/11/28,2025/11/28,テスト銀行 事業,81312
支出,2025/11/11,テスト交通,旅費交通費,18566,2025/11/28,2025/11/28,テスト銀行 事業,18566
支出,2025/11/16,テスト事務用品,消耗品費,10931,2025/11/28,2025/11/28,テスト銀行 事業,10931
支出,2025/11/23,テスト広告,広告宣伝費,32838,2025/11/28,2025/11/28,テスト銀行 事業,32838
収入,2025/12/20,テストクライアント,売上高,620000,2025/01/28,2025/01/28,テスト銀行 事業,620000
支出,2025/12/05,テスト決済,支払手数料,4980,2025/12/28,2025/12/28,テスト銀行 事業,4980
