計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2025/01/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000001
1,2025/01/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000002
1,2025/01/15,テストクライアント 入金,278124,テスト銀行 本人普通,収入,事業収入,,0,MF000003
1,2025/01/06,テストスーパー,-56385,テストカード,食費,食料品,,0,MF000004
1,2025/01/07,テスト食堂,-14263,テストカード,食費,外食,,0,MF000005
1,2025/01/08,テストドラッグ,-7778,テストカード,日用品,日用品,,0,MF000006
1,2025/01/09,テスト電力,-9540,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000007
1,2025/01/10,テストガス,-7177,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000008
1,2025/01/11,テストモバイル,-9057,テストカード,通信費,携帯電話,,0,MF000009
1,2025/01/12,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000010
1,2025/01/13,テスト書店,-4526,テストカード,趣味・娯楽,書籍,,0,MF000011
1,2025/01/14,テスト交通 IC チャージ,-5864,テストカード,交通費,電車,,0,MF000012
1,2025/01/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000013
1,2025/01/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000014
1,2025/01/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000015
1,2025/01/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000016
1,2025/01/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000017
0,2025/01/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000018
1,2025/02/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000019
1,2025/02/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000020
1,2025/02/15,テストクライアント 入金,294468,テスト銀行 本人普通,収入,事業収入,,0,MF000021
1,2025/02/04,テストスーパー,-64400,テストカード,食費,食料品,,0,MF000022
1,2025/02/05,テスト食堂,-13944,テストカード,食費,外食,,0,MF000023
1,2025/02/06,テストドラッグ,-8375,テストカード,日用品,日用品,,0,MF000024
1,2025/02/07,テスト電力,-10164,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000025
1,2025/02/08,テストガス,-7852,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000026
1,2025/02/09,テストモバイル,-8995,テストカード,通信費,携帯電話,,0,MF000027
1,2025/02/10,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000028
1,2025/02/11,テスト書店,-2826,テストカード,趣味・娯楽,書籍,,0,MF000029
1,2025/02/12,テスト交通 IC チャージ,-6337,テストカード,交通費,電車,,0,MF000030
1,2025/02/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000031
1,2025/02/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000032
1,2025/02/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000033
